,0
0,Positive
1,Positive
2,Positive
3,Positive
4,Positive
5,Negative
6,Positive
7,Positive
8,Positive
9,Positive
10,Positive
11,Positive
12,Positive
13,Positive
14,Positive
15,Neutral
16,Positive
17,Positive
18,Positive
19,Positive
20,Positive
21,Neutral
22,Negative
23,Positive
24,Positive
25,Positive
26,Positive
27,Positive
28,Positive
29,Positive
30,Positive
31,Positive
32,Neutral
33,Positive
34,Positive
35,Negative
36,Positive
37,Neutral
38,Negative
39,Positive
40,Positive
41,Positive
42,Negative
43,Positive
44,Negative
45,Positive
46,Negative
47,Negative
48,Positive
49,Neutral
50,Neutral
51,Positive
52,Negative
53,Neutral
54,Positive
55,Negative
56,Positive
57,Neutral
58,Positive
59,Positive
60,Positive
61,Positive
62,Neutral
63,Positive
64,Positive
65,Positive
66,Positive
67,Positive
68,Positive
69,Positive
70,Positive
71,Positive
72,Positive
73,Neutral
74,Neutral
75,Neutral
76,Negative
77,Positive
78,Positive
79,Positive
80,Positive
81,Neutral
82,Positive
83,Positive
84,Positive
85,Positive
86,Negative
87,Positive
88,Positive
89,Positive
90,Positive
91,Positive
92,Neutral
93,Positive
94,Positive
95,Positive
96,Positive
97,Positive
98,Positive
99,Positive
100,Positive
101,Neutral
102,Negative
103,Positive
104,Positive
105,Positive
106,Positive
107,Positive
108,Neutral
109,Neutral
110,Positive
111,Positive
112,Positive
113,Positive
114,Positive
115,Positive
116,Positive
117,Positive
118,Negative
119,Positive
120,Positive
121,Positive
122,Positive
123,Neutral
124,Positive
125,Positive
126,Positive
127,Positive
128,Positive
129,Positive
130,Neutral
131,Positive
132,Positive
133,Positive
134,Positive
135,Positive
136,Neutral
137,Positive
138,Positive
139,Positive
140,Neutral
141,Positive
142,Positive
143,Positive
144,Negative
145,Positive
146,Neutral
147,Positive
148,Positive
149,Positive
150,Negative
151,Positive
152,Positive
153,Positive
154,Neutral
155,Positive
156,Neutral
157,Negative
158,Positive
159,Positive
160,Positive
161,Neutral
162,Negative
163,Positive
164,Positive
165,Positive
166,Positive
167,Positive
168,Positive
169,Negative
170,Negative
171,Positive
172,Negative
173,Positive
174,Negative
175,Positive
176,Negative
177,Positive
178,Positive
179,Positive
180,Positive
181,Positive
182,Neutral
183,Negative
184,Negative
185,Negative
186,Neutral
187,Positive
188,Neutral
189,Negative
190,Negative
191,Positive
192,Positive
193,Positive
194,Positive
195,Negative
196,Neutral
197,Negative
198,Positive
199,Neutral
200,Positive
201,Negative
202,Positive
203,Positive
204,Positive
205,Neutral
206,Positive
207,Positive
208,Negative
209,Positive
210,Negative
211,Positive
212,Positive
213,Positive
214,Positive
215,Negative
216,Neutral
217,Positive
218,Positive
219,Negative
220,Negative
221,Positive
222,Positive
223,Negative
224,Positive
225,Positive
226,Positive
227,Positive
228,Positive
229,Neutral
230,Positive
231,Neutral
232,Positive
233,Neutral
234,Negative
235,Positive
236,Negative
237,Positive
238,Positive
239,Negative
240,Positive
241,Positive
242,Negative
243,Positive
244,Positive
245,Positive
246,Negative
247,Negative
248,Positive
249,Neutral
250,Positive
251,Positive
252,Positive
253,Positive
254,Negative
255,Positive
256,Positive
257,Positive
258,Positive
259,Negative
260,Positive
261,Positive
262,Negative
263,Negative
264,Neutral
265,Positive
266,Positive
267,Positive
268,Neutral
269,Positive
270,Positive
271,Positive
272,Positive
273,Positive
274,Positive
275,Positive
276,Positive
277,Positive
278,Positive
279,Negative
280,Positive
281,Negative
282,Positive
283,Neutral
284,Positive
285,Negative
286,Negative
287,Positive
288,Positive
289,Positive
290,Positive
291,Positive
292,Positive
293,Neutral
294,Positive
295,Positive
296,Positive
297,Neutral
298,Positive
299,Positive
300,Positive
301,Negative
302,Positive
303,Positive
304,Positive
305,Positive
306,Positive
307,Neutral
308,Positive
309,Positive
310,Neutral
311,Positive
312,Negative
313,Negative
314,Positive
315,Negative
316,Positive
317,Positive
318,Neutral
319,Neutral
320,Negative
321,Neutral
322,Positive
323,Neutral
324,Positive
325,Positive
326,Positive
327,Neutral
328,Neutral
329,Negative
330,Positive
331,Positive
332,Positive
333,Positive
334,Positive
335,Positive
336,Negative
337,Positive
338,Positive
339,Negative
340,Positive
341,Positive
342,Neutral
343,Negative
344,Positive
345,Positive
346,Positive
347,Positive
348,Neutral
349,Positive
350,Positive
351,Positive
352,Neutral
353,Positive
354,Neutral
355,Neutral
356,Negative
357,Negative
358,Positive
359,Negative
360,Positive
361,Positive
362,Negative
363,Negative
364,Negative
365,Neutral
366,Neutral
367,Positive
368,Neutral
369,Negative
370,Positive
371,Negative
372,Positive
373,Positive
374,Negative
375,Positive
376,Positive
377,Positive
378,Neutral
379,Neutral
380,Neutral
381,Negative
382,Neutral
383,Positive
384,Negative
385,Positive
386,Positive
387,Positive
388,Positive
389,Positive
390,Positive
391,Positive
392,Positive
393,Positive
394,Negative
395,Positive
396,Positive
397,Negative
398,Negative
399,Positive
400,Positive
401,Positive
402,Positive
403,Positive
404,Positive
405,Positive
406,Negative
407,Positive
408,Negative
409,Neutral
410,Negative
411,Positive
412,Positive
413,Negative
414,Positive
415,Negative
416,Positive
417,Positive
418,Negative
419,Neutral
420,Positive
421,Negative
422,Positive
423,Negative
424,Negative
425,Positive
426,Positive
427,Positive
428,Neutral
429,Negative
430,Neutral
431,Negative
432,Positive
433,Positive
434,Negative
435,Negative
436,Positive
437,Negative
438,Positive
439,Positive
440,Neutral
441,Positive
442,Positive
443,Positive
444,Positive
445,Negative
446,Neutral
447,Negative
448,Positive
449,Neutral
450,Positive
451,Positive
452,Positive
453,Positive
454,Positive
455,Positive
456,Positive
457,Positive
458,Neutral
459,Positive
460,Positive
461,Negative
462,Positive
463,Positive
464,Neutral
465,Negative
466,Positive
467,Neutral
468,Neutral
469,Negative
470,Negative
471,Neutral
472,Neutral
473,Positive
474,Positive
475,Negative
476,Positive
477,Positive
478,Positive
479,Positive
480,Positive
481,Positive
482,Neutral
483,Positive
484,Positive
485,Positive
486,Positive
487,Negative
488,Positive
489,Positive
490,Neutral
491,Positive
492,Positive
493,Negative
494,Positive
495,Positive
496,Negative
497,Positive
498,Positive
499,Positive
500,Positive
501,Positive
502,Positive
503,Positive
504,Negative
505,Positive
506,Positive
507,Positive
508,Positive
509,Neutral
510,Positive
511,Negative
512,Positive
513,Negative
514,Positive
515,Positive
516,Neutral
517,Positive
518,Neutral
519,Neutral
520,Positive
521,Neutral
522,Negative
523,Positive
524,Positive
525,Positive
526,Neutral
527,Positive
528,Negative
529,Negative
530,Positive
531,Positive
532,Negative
533,Positive
534,Positive
535,Positive
536,Negative
537,Positive
538,Positive
539,Negative
540,Negative
541,Positive
542,Positive
543,Positive
544,Positive
545,Positive
546,Positive
547,Negative
548,Negative
549,Positive
550,Positive
551,Positive
552,Positive
553,Neutral
554,Positive
555,Positive
556,Positive
557,Positive
558,Negative
559,Positive
560,Positive
561,Negative
562,Positive
563,Positive
564,Positive
565,Neutral
566,Positive
567,Negative
568,Positive
569,Negative
570,Positive
571,Positive
572,Neutral
573,Negative
574,Negative
575,Negative
576,Neutral
577,Positive
578,Neutral
579,Positive
580,Negative
581,Positive
582,Positive
583,Positive
584,Positive
585,Positive
586,Positive
587,Positive
588,Negative
589,Negative
590,Positive
591,Positive
592,Positive
593,Positive
594,Positive
595,Positive
596,Positive
597,Positive
598,Neutral
599,Positive
600,Positive
601,Positive
602,Neutral
603,Positive
604,Positive
605,Positive
606,Positive
607,Negative
608,Neutral
609,Neutral
610,Positive
611,Positive
612,Positive
613,Positive
614,Negative
615,Positive
616,Positive
617,Positive
618,Positive
619,Neutral
620,Positive
621,Positive
622,Positive
623,Negative
624,Neutral
625,Positive
626,Neutral
627,Negative
628,Negative
629,Negative
630,Neutral
631,Positive
632,Neutral
633,Negative
634,Positive
635,Positive
636,Positive
637,Negative
638,Positive
639,Positive
640,Positive
641,Positive
642,Neutral
643,Positive
644,Negative
645,Positive
646,Negative
647,Neutral
648,Positive
649,Positive
650,Positive
651,Negative
652,Neutral
653,Neutral
654,Positive
655,Positive
656,Positive
657,Positive
658,Positive
659,Positive
660,Positive
661,Positive
662,Negative
663,Positive
664,Positive
665,Positive
666,Positive
667,Positive
668,Positive
669,Neutral
670,Positive
671,Positive
672,Positive
673,Positive
674,Positive
675,Positive
676,Negative
677,Positive
678,Neutral
679,Neutral
680,Positive
681,Positive
682,Positive
683,Neutral
684,Neutral
685,Negative
686,Neutral
687,Negative
688,Neutral
689,Positive
690,Positive
691,Positive
692,Positive
693,Positive
694,Negative
695,Negative
696,Positive
697,Positive
698,Positive
699,Positive
700,Negative
701,Positive
702,Negative
703,Neutral
704,Positive
705,Negative
706,Negative
707,Positive
708,Negative
709,Negative
710,Negative
711,Positive
712,Positive
713,Negative
714,Negative
715,Positive
716,Positive
717,Negative
718,Positive
719,Positive
720,Negative
721,Neutral
722,Positive
723,Positive
724,Positive
725,Negative
726,Positive
727,Positive
728,Positive
729,Negative
730,Negative
731,Positive
732,Positive
733,Positive
734,Negative
735,Negative
736,Positive
737,Neutral
738,Neutral
739,Negative
740,Positive
741,Negative
742,Positive
743,Neutral
744,Positive
745,Negative
746,Positive
747,Positive
748,Positive
749,Positive
750,Negative
751,Positive
752,Positive
753,Neutral
754,Positive
755,Positive
756,Positive
757,Positive
758,Positive
759,Negative
760,Positive
761,Positive
762,Positive
763,Negative
764,Positive
765,Positive
766,Positive
767,Neutral
768,Positive
769,Positive
770,Positive
771,Negative
772,Positive
773,Positive
774,Positive
775,Positive
776,Neutral
777,Negative
778,Positive
779,Positive
780,Neutral
781,Negative
782,Positive
783,Positive
784,Positive
785,Positive
786,Positive
787,Positive
788,Neutral
789,Positive
790,Positive
791,Positive
792,Positive
793,Positive
794,Positive
795,Positive
796,Positive
797,Positive
798,Positive
799,Positive
800,Positive
801,Negative
802,Negative
803,Positive
804,Positive
805,Positive
806,Positive
807,Neutral
808,Negative
809,Positive
810,Positive
811,Positive
812,Positive
813,Positive
814,Negative
815,Positive
816,Negative
817,Positive
818,Positive
819,Neutral
820,Positive
821,Positive
822,Positive
823,Positive
824,Neutral
825,Positive
826,Positive
827,Positive
828,Positive
829,Neutral
830,Positive
831,Positive
832,Positive
833,Negative
834,Positive
835,Negative
836,Neutral
837,Positive
838,Positive
839,Positive
840,Positive
841,Positive
842,Positive
843,Neutral
844,Positive
845,Positive
846,Negative
847,Positive
848,Positive
849,Positive
850,Negative
851,Negative
852,Positive
853,Negative
854,Positive
855,Positive
856,Positive
857,Positive
858,Positive
859,Neutral
860,Positive
861,Positive
862,Positive
863,Negative
864,Positive
865,Negative
866,Positive
867,Positive
868,Positive
869,Positive
870,Positive
871,Positive
872,Positive
873,Negative
874,Positive
875,Positive
876,Neutral
877,Negative
878,Negative
879,Positive
880,Positive
881,Positive
882,Positive
883,Positive
884,Positive
885,Negative
886,Neutral
887,Positive
888,Positive
889,Positive
890,Negative
891,Positive
892,Positive
893,Neutral
894,Positive
895,Positive
896,Positive
897,Positive
898,Neutral
899,Negative
900,Positive
901,Positive
902,Positive
903,Positive
904,Positive
905,Positive
906,Negative
907,Positive
908,Positive
909,Neutral
910,Positive
911,Positive
912,Negative
913,Positive
914,Positive
915,Positive
916,Negative
917,Positive
918,Positive
919,Positive
920,Positive
921,Negative
922,Positive
923,Negative
924,Neutral
925,Positive
926,Positive
927,Neutral
928,Positive
929,Positive
930,Neutral
931,Negative
932,Positive
933,Neutral
934,Negative
935,Positive
936,Positive
937,Positive
938,Negative
939,Positive
940,Negative
941,Positive
942,Positive
943,Positive
944,Positive
945,Positive
946,Positive
947,Positive
948,Negative
949,Positive
950,Positive
951,Neutral
952,Positive
953,Positive
954,Positive
955,Positive
956,Positive
957,Negative
958,Negative
959,Positive
960,Positive
961,Neutral
962,Neutral
963,Neutral
964,Positive
965,Positive
966,Positive
967,Positive
968,Negative
969,Negative
970,Neutral
971,Neutral
972,Neutral
973,Positive
974,Positive
975,Positive
976,Neutral
977,Positive
978,Positive
979,Positive
980,Positive
981,Neutral
982,Neutral
983,Positive
984,Positive
985,Positive
986,Neutral
987,Positive
988,Negative
989,Positive
990,Negative
991,Positive
992,Positive
993,Positive
994,Neutral
995,Neutral
996,Positive
997,Negative
998,Positive
999,Positive
1000,Positive
1001,Positive
1002,Positive
1003,Positive
1004,Positive
1005,Negative
1006,Positive
1007,Negative
1008,Negative
1009,Negative
1010,Negative
1011,Negative
1012,Positive
1013,Negative
1014,Positive
1015,Negative
1016,Positive
1017,Positive
1018,Neutral
1019,Positive
1020,Positive
1021,Positive
1022,Positive
1023,Positive
1024,Neutral
1025,Positive
1026,Negative
1027,Negative
1028,Negative
1029,Positive
1030,Neutral
1031,Positive
1032,Negative
1033,Positive
1034,Positive
1035,Positive
1036,Positive
1037,Positive
1038,Positive
1039,Negative
1040,Positive
1041,Positive
1042,Positive
1043,Negative
1044,Neutral
1045,Positive
1046,Negative
1047,Positive
1048,Negative
1049,Neutral
1050,Positive
1051,Positive
1052,Positive
1053,Positive
1054,Positive
1055,Positive
1056,Negative
1057,Negative
1058,Negative
1059,Positive
1060,Positive
1061,Positive
1062,Neutral
1063,Positive
1064,Neutral
1065,Positive
1066,Positive
1067,Positive
1068,Neutral
1069,Positive
1070,Negative
1071,Positive
1072,Negative
1073,Positive
1074,Positive
1075,Negative
1076,Positive
1077,Positive
1078,Positive
1079,Neutral
1080,Negative
1081,Negative
1082,Neutral
1083,Positive
1084,Negative
1085,Negative
1086,Positive
1087,Negative
1088,Neutral
1089,Positive
1090,Positive
1091,Positive
1092,Neutral
1093,Positive
1094,Positive
1095,Neutral
1096,Positive
1097,Positive
1098,Positive
1099,Positive
1100,Positive
1101,Negative
1102,Positive
1103,Neutral
1104,Positive
1105,Positive
1106,Positive
1107,Positive
1108,Neutral
1109,Positive
1110,Positive
1111,Positive
1112,Negative
1113,Negative
1114,Positive
1115,Neutral
1116,Positive
1117,Negative
1118,Positive
1119,Positive
1120,Negative
1121,Positive
1122,Neutral
1123,Positive
1124,Negative
1125,Positive
1126,Positive
1127,Positive
1128,Positive
1129,Negative
1130,Negative
1131,Positive
1132,Positive
1133,Positive
1134,Positive
1135,Neutral
1136,Negative
1137,Positive
1138,Positive
1139,Positive
1140,Positive
1141,Positive
1142,Positive
1143,Positive
1144,Neutral
1145,Negative
1146,Negative
1147,Negative
1148,Positive
1149,Positive
1150,Negative
1151,Neutral
1152,Negative
1153,Negative
1154,Positive
1155,Neutral
1156,Positive
1157,Positive
1158,Negative
1159,Negative
1160,Positive
1161,Positive
1162,Negative
1163,Positive
1164,Positive
1165,Positive
1166,Positive
1167,Positive
1168,Positive
1169,Positive
1170,Positive
1171,Negative
1172,Positive
1173,Positive
1174,Positive
1175,Neutral
1176,Negative
1177,Positive
1178,Neutral
1179,Negative
1180,Positive
1181,Neutral
1182,Negative
1183,Positive
1184,Positive
1185,Negative
1186,Positive
1187,Neutral
1188,Positive
1189,Neutral
1190,Negative
1191,Positive
1192,Positive
1193,Positive
1194,Positive
1195,Negative
1196,Positive
1197,Positive
1198,Negative
1199,Positive
1200,Positive
1201,Negative
1202,Positive
1203,Positive
1204,Positive
1205,Neutral
1206,Positive
1207,Positive
1208,Positive
1209,Neutral
1210,Negative
1211,Positive
1212,Neutral
1213,Positive
1214,Positive
1215,Positive
1216,Positive
1217,Positive
1218,Positive
1219,Negative
1220,Positive
1221,Positive
1222,Positive
1223,Positive
1224,Positive
1225,Positive
1226,Negative
1227,Neutral
1228,Negative
1229,Positive
1230,Positive
1231,Positive
1232,Positive
1233,Positive
1234,Positive
1235,Positive
1236,Negative
1237,Positive
1238,Positive
1239,Neutral
1240,Positive
1241,Neutral
1242,Positive
1243,Neutral
1244,Positive
1245,Positive
1246,Positive
1247,Neutral
1248,Positive
1249,Positive
1250,Positive
1251,Negative
1252,Positive
1253,Positive
1254,Neutral
1255,Negative
1256,Negative
1257,Negative
1258,Positive
1259,Positive
1260,Positive
1261,Negative
1262,Positive
1263,Positive
1264,Positive
1265,Neutral
1266,Positive
1267,Positive
1268,Positive
1269,Positive
1270,Positive
1271,Negative
1272,Negative
1273,Positive
1274,Positive
1275,Positive
1276,Positive
1277,Positive
1278,Neutral
1279,Positive
1280,Negative
1281,Positive
1282,Positive
1283,Positive
1284,Positive
1285,Positive
1286,Positive
1287,Positive
1288,Positive
1289,Positive
1290,Positive
1291,Neutral
1292,Positive
1293,Positive
1294,Positive
1295,Positive
1296,Neutral
1297,Positive
1298,Positive
